source,source_id,name,category,subcategory,description_short,description_full,website,phone,email,facebook,other_contact,full_address,postcode,city,region,local_authority,service_area,days_open,opening_hours,appointment_needed,response_time,cost_type,specific_cost,insurance_accepted,financial_assistance,age_range,conditions_supported,referral_required,diagnosis_required,specific_services,physical_access,communication_access,sensory_friendly,organization_type,neurodivergent_led,cqc_rating,status,last_verified,verified_by,data_source,internal_notes,latitude,longitude,coordinates,content
compiled_resources,1,ELFT - City & Hackney ADHD Service,Assessment & Diagnosis,NHS Assessment Service,Adult ADHD diagnostic assessments and treatment for City & Hackney residents.,NHS adult ADHD assessment service providing diagnostic assessments and ongoing care for adults in City & Hackney. GP referral required. Free NHS service with comprehensive assessment and medication management.,https://elft.nhs.uk/adult-adhd-services,+442085251115,elft.adhdservice@nhs.net,,Main switchboard - ask for Adult ADHD Service,"The Primrose Resource Centre, 23 Primrose Square, London E9 7TS",E9 7TS,London,England - London,City of London & Hackney,City & Hackney,"Monday, Tuesday, Wednesday, Thursday, Friday",09:00-17:00,Yes - appointment only,6-12 months (check current waiting times),Free (NHS),£0 - NHS funded,N/A - NHS service,N/A - free service,Adults (18+),ADHD,GP referral needed,N/A - they provide diagnosis,"ADHD Assessment (Adult), Medication Management, Ongoing care",Wheelchair accessible,Phone written email,Yes - NHS accessibility standards,NHS Service,Unknown,Good,Active & Verified,03/10/2025,Manus AI,ELFT website,Verified current contact details and services. Part of East London NHS Foundation Trust.,,,,
compiled_resources,2,ELFT - Newham ADHD Services,Assessment & Diagnosis,NHS Assessment Service,Adult ADHD diagnostic assessments and treatment for Newham residents.,NHS adult ADHD assessment service providing diagnostic assessments and ongoing care for adults in Newham. GP referral required. Free NHS service with comprehensive assessment and medication management.,https://elft.nhs.uk/adult-adhd-services,+442032885100,elft.newham-pcns-referral-inbox@nhs.net,,Main switchboard - ask for Newham ADHD Service,"East Ham Memorial Building, 298 Shrewsbury Road, London E7 8QP",E7 8QP,London,England - London,Newham,Newham,"Monday, Tuesday, Wednesday, Thursday, Friday",09:00-17:00,Yes - appointment only,6-12 months (check current waiting times),Free (NHS),£0 - NHS funded,N/A - NHS service,N/A - free service,Adults (18+),ADHD,GP referral needed,N/A - they provide diagnosis,"ADHD Assessment (Adult), Medication Management, Ongoing care",Wheelchair accessible,Phone written email,Yes - NHS accessibility standards,NHS Service,Unknown,Good,Active & Verified,03/10/2025,Manus AI,ELFT website,Verified current contact details and services. Part of East London NHS Foundation Trust.,,,,
compiled_resources,3,ELFT - Tower Hamlets ADHD Service,Assessment & Diagnosis,NHS Assessment Service,Adult ADHD diagnostic assessments and treatment for Tower Hamlets residents.,NHS adult ADHD assessment service providing diagnostic assessments and ongoing care for adults in Tower Hamlets. GP referral required. Free NHS service with comprehensive assessment and medication management.,https://elft.nhs.uk/adult-adhd-services,+447393243295,elft.thadhdservice@nhs.net,,Main switchboard - ask for Tower Hamlets ADHD Service,"Mile End Hospital, Bancroft Road, London E1 4DG",E1 4DG,London,England - London,Tower Hamlets,Tower Hamlets,"Monday, Tuesday, Wednesday, Thursday, Friday",09:00-17:00,Yes - appointment only,6-12 months (check current waiting times),Free (NHS),£0 - NHS funded,N/A - NHS service,N/A - free service,Adults (18+),ADHD,GP referral needed,N/A - they provide diagnosis,"ADHD Assessment (Adult), Medication Management, Ongoing care",Wheelchair accessible,Phone written email,Yes - NHS accessibility standards,NHS Service,Unknown,Good,Active & Verified,03/10/2025,Manus AI,ELFT website,Verified current contact details and services. Part of East London NHS Foundation Trust.,,,,
compiled_resources,4,ELFT - Adult Autism Diagnostic Services,Assessment & Diagnosis,NHS Assessment Service,Adult autism diagnostic assessments and support for East London residents.,NHS adult autism assessment service providing diagnostic assessments and ongoing support for adults in East London. Covers City & Hackney and Tower Hamlets. GP referral required.,https://elft.nhs.uk/adult-autism-diagnostic-services,+442076554000,elft.autismservice@nhs.net,,Main switchboard - ask for Adult Autism Service,"Mile End Hospital, Bancroft Road, London E1 4DG",E1 4DG,London,England - London,Tower Hamlets,City & Hackney and Tower Hamlets,"Monday, Tuesday, Wednesday, Thursday, Friday",09:00-17:00,Yes - appointment only,12-18 months (check current waiting times),Free (NHS),£0 - NHS funded,N/A - NHS service,N/A - free service,Adults (18+),Autism/ASC,GP referral needed,N/A - they provide diagnosis,"Autism Assessment (Adult), Ongoing support, Post-diagnostic support",Wheelchair accessible,Phone written email,Yes - NHS accessibility standards,NHS Service,Unknown,Good,Active & Verified,03/10/2025,Manus AI,ELFT website,Verified current contact details and services. Covers multiple East London boroughs.,,,,
compiled_resources,5,CNWL - Adult ADHD Service,Assessment & Diagnosis,NHS Assessment Service,Adult ADHD diagnosis and treatment for North West London. Currently not taking new referrals.,NHS adult ADHD assessment service for North West London boroughs. Currently experiencing capacity issues and not accepting new referrals. All appointments conducted virtually.,https://cnwl.nhs.uk/services/mental-health-services/cnwl-adult-adhd-service,,adhd.cnwl@nhs.net,,Email contact preferred,"The Kingswood Centre, 134 Honeypot Lane, Kingsbury, London NW9 9QY",NW9 9QY,London,England - London,Brent,"Brent, Harrow, Hillingdon, Kensington and Chelsea, Westminster","Monday, Tuesday, Wednesday, Thursday, Friday",09:00-17:00,Yes - appointment only,Not accepting new referrals,Free (NHS),£0 - NHS funded,N/A - NHS service,N/A - free service,Adults (18+),ADHD,GP referral needed,N/A - they provide diagnosis,"ADHD Assessment (Adult), Medication Management, Virtual appointments",N/A - virtual service only,Email virtual appointments,N/A - virtual service,NHS Service,Unknown,Good,Active - Not Taking Referrals,03/10/2025,Manus AI,CNWL website,Currently not accepting new ADHD referrals as of October 2025. Check for updates.,,,,
compiled_resources,6,NLFT - Adult ADHD Clinic,Assessment & Diagnosis,NHS Assessment Service,Specialist ADHD assessment and pharmacological treatment for North London residents.,NHS tertiary ADHD service providing specialist assessment and pharmacological treatment for adults in North London. GP or Mental Health Practitioner referral required.,https://northlondonmentalhealth.nhs.uk/service-details/service/adult-adhd-clinic-148,+442087025544,nlft.referrals.adultadhdservice@nhs.net,,Referral forms available on website,"Level 2, Springwell Centre, Barnet General Hospital, Wellhouse Lane, Barnet, EN5 3DJ",EN5 3DJ,London,England - London,Barnet,"Barnet, Enfield, Haringey","Monday, Tuesday, Wednesday, Thursday, Friday",09:00-17:00,Yes - appointment only,6-12 months (check current waiting times),Free (NHS),£0 - NHS funded,N/A - NHS service,N/A - free service,Adults (18+),ADHD,GP or Mental Health Practitioner referral required,N/A - they provide diagnosis,"ADHD Assessment (Adult), Medication titration, Adult ADHD life skills group",Wheelchair accessible,Phone written email,Yes - NHS accessibility standards,NHS Service,Unknown,Good,Active & Verified,03/10/2025,Manus AI,NLFT website,Tertiary service with specialist ADHD focus. Long waiting times for life skills groups.,,,,
compiled_resources,7,London Psychiatry Clinic,Assessment & Diagnosis,Private Assessment Provider,Private ADHD assessments for adults in London with no GP referral required.,Private clinic providing comprehensive ADHD assessments for adults. Located on Harley Street with option for remote video assessments UK-wide. No GP referral required.,https://londonpsychiatry.clinic/services/attention-deficit-hyperactivity-disorder-adhd-assessment-in-adults,,,,,Face-to-face or remote video assessments,"60 Harley Street, London, UK",W1G 7HJ,London,England - London,Westminster,London-wide and UK-wide,"Monday, Tuesday, Wednesday, Thursday, Friday",Flexible appointment times,Yes - appointment only,1-2 weeks,Private / Self-funded,"From £1,160 for comprehensive assessment",Yes (Check for specific providers),Payment plans may be available,Adults (18+),ADHD,Self-referral accepted,N/A - they provide diagnosis,"ADHD Assessment (Adult), Treatment planning, Medication management, Letters to GP",Wheelchair accessible (Harley Street),Phone email video consultation,Can discuss needs prior to appointment,Private Healthcare,Unknown,Required (Check CQC register),Active & Verified,03/10/2025,Manus AI,London Psychiatry Clinic website,,,,
compiled_resources,8,The Autism Service - London,Assessment & Diagnosis,Private Assessment Provider,Private Autism and ADHD assessments for children and adults with no waiting list.,Private clinic providing autism and ADHD assessments following NICE guidance. Located in Marylebone with no current waiting list. Multiple assessment pathways available.,https://theautismservice.co.uk/clinic/london,+443003030667,,,Online contact form,"Library Rooms, 4 Manchester Square, Marylebone, London W1U 3PD",W1U 3PD,London,England - London,Westminster,London-wide,"Monday, Tuesday, Wednesday, Thursday, Friday",Flexible appointment times,Yes - appointment only,No waiting list - immediate availability,Private / Self-funded,Varies by pathway (check website for current fees),Yes (Check for specific providers),Payment plans may be available,Children and Adults,ADHD and Autism/ASC,Self-referral accepted,N/A - they provide diagnosis,"ADHD Assessment (Adult), ADHD Assessment (Child), Autism Assessment (Adult), Autism Assessment (Child), Combined assessments",Limited wheelchair access (contact office),Phone email in-person,LGBTQ+ and gender neutral facilities,Private Healthcare,Unknown,Required (Check CQC register),Active & Verified,03/10/2025,Manus AI,The Autism Service website,Established 2019. Short walk from Bond Street and Oxford Circus stations.,,,,
compiled_resources,9,Priory Group,Assessment & Diagnosis,Private Assessment Provider,Private Autism assessments for children and adults at multiple London locations.,Major private healthcare provider offering autism assessments across multiple London locations. 4-6 week process with detailed outcome reports.,https://priorygroup.com/mental-health/autism/autism-assessments,+443300566023,,,Online contact form,Multiple London locations,Various,London,England - London,Various,London-wide,"Monday, Tuesday, Wednesday, Thursday, Friday",Flexible appointment times,Yes - appointment only,2 weeks for initial appointment,Private / Self-funded,"From £2,150 (psychology-led), £2,500 (consultant-led)",Yes (Check for specific providers),No,Children (from age 4) and Adults,Autism/ASC,Self-referral accepted,N/A - they provide diagnosis,"Autism Assessment (Adult), Autism Assessment (Child), Detailed outcome reports, Feedback meetings",Varies by location,Phone email in-person,Can discuss needs prior to appointment,Private Healthcare,Unknown,Required (Check CQC register),Active & Verified,03/10/2025,Manus AI,Priory Group website,Multiple London locations. NICE-standard reports. Free online screening available.,,,,
compiled_resources,10,Psychiatry UK,Assessment & Diagnosis,Right to Choose Provider,NHS-funded ADHD assessments via Right to Choose. Online assessments available.,Major provider of NHS-funded ADHD assessments through Right to Choose pathway. Online assessments for adults and children with GP referral.,https://psychiatry-uk.com/right-to-choose,+443301241980,,,Online contact form primary method,Online service - no physical location,N/A,Online,England - London,National,National (England only),"Monday, Tuesday, Wednesday, Thursday, Friday",Online appointments - flexible,Yes - appointment only,3-6 months (check website),Free (NHS),£0 - NHS funded via Right to Choose,N/A - NHS funded,N/A - free service,"Adults (18+), Children",ADHD,GP referral needed (patient can request),N/A - they provide diagnosis,"ADHD Assessment (Adult), ADHD Assessment (Child), Medication Management, Ongoing care",N/A - online only,"Video call, email, online forms",Home environment - patient controls,Private Healthcare (NHS-commissioned),Some ND staff,Good,Active & Verified,03/10/2025,Manus AI,Psychiatry UK website,Major Right to Choose provider. Patient can request GP referral.,,,,
