record_index,name,postcode,city,website,phone,email,facebook,source,completeness,key_used,issues
1,ELFT - City & Hackney ADHD Service,E9 7TS,London,https://elft.nhs.uk/adult-adhd-services,+442085251115,elft.adhdservice@nhs.net,,compiled_resources,1.0,wp,missing_coordinates
2,ELFT - Newham ADHD Services,E7 8QP,London,https://elft.nhs.uk/adult-adhd-services,+442032885100,elft.newham-pcns-referral-inbox@nhs.net,,compiled_resources,1.0,wp,missing_coordinates
3,ELFT - Tower Hamlets ADHD Service,E1 4DG,London,https://elft.nhs.uk/adult-adhd-services,+447393243295,elft.thadhdservice@nhs.net,,compiled_resources,1.0,wp,missing_coordinates
4,ELFT - Adult Autism Diagnostic Services,E1 4DG,London,https://elft.nhs.uk/adult-autism-diagnostic-services,+442076554000,elft.autismservice@nhs.net,,compiled_resources,1.0,wp,missing_coordinates
5,CNWL - Adult ADHD Service,NW9 9QY,London,https://cnwl.nhs.uk/services/mental-health-services/cnwl-adult-adhd-service,,adhd.cnwl@nhs.net,,compiled_resources,0.875,wp,missing_coordinates
6,NLFT - Adult ADHD Clinic,EN5 3DJ,London,https://northlondonmentalhealth.nhs.uk/service-details/service/adult-adhd-clinic-148,+442087025544,nlft.referrals.adultadhdservice@nhs.net,,compiled_resources,1.0,wp,missing_coordinates
7,London Psychiatry Clinic,"60 Harley Street, London, UK",W1G 7HJ,https://londonpsychiatry.clinic/services/attention-deficit-hyperactivity-disorder-adhd-assessment-in-adults,,,,compiled_resources,0.75,wp,postcode_invalid;missing_coordinates
8,The Autism Service - London,W1U 3PD,London,https://theautismservice.co.uk/clinic/london,+443003030667,,,compiled_resources,0.875,wp,missing_coordinates
9,Priory Group,Various,London,https://priorygroup.com/mental-health/autism/autism-assessments,+443300566023,,,compiled_resources,0.875,wp,postcode_invalid;missing_coordinates
10,Psychiatry UK,N/A,Online,https://psychiatry-uk.com/right-to-choose,+443301241980,,,compiled_resources,0.875,wp,postcode_invalid;missing_coordinates
11,Samaritans,N/A,National,https://samaritans.org,+116123,jo@samaritans.org,,compiled_resources,1.0,wp,phone_suspect;postcode_invalid;missing_coordinates
12,Shout Crisis Text Line,N/A,National,https://giveusashout.org,,,,compiled_resources,0.75,wp,postcode_invalid;missing_coordinates
13,CNWL - Mental Health Crisis Line,N/A,London,https://cnwl.nhs.uk/patients-and-carers/help-mental-health-crisis,+448000234650,cnw-tr.spa@nhs.net,,compiled_resources,1.0,wp,postcode_invalid;missing_coordinates
14,National Autistic Society Helpline,EC1V 1NG,London,https://autism.org.uk/contact-us/urgent-help,+448088004104,,,compiled_resources,0.875,wp,missing_coordinates
