sno,gmaps_place_id,gmaps_name,gmaps_formatted_address,gmaps_latitude,gmaps_longitude,gmaps_opening_hours_weekday_text,gmaps_website,gmaps_phone,gmaps_rating,gmaps_user_ratings_total,gmaps_types,gmaps_business_status,gmaps_editorial_summary,gmaps_url,gmaps_directions_url,gmaps_plus_code_global,gmaps_plus_code_compound,gmaps_utc_offset_minutes,gmaps_photo_reference_1,gmaps_addr_country,gmaps_addr_postal_code,gmaps_addr_postal_town,gmaps_addr_admin_area_level_1,gmaps_addr_admin_area_level_2,postcode_norm,gmaps_postcode_norm,likely_match,description_short,Description,city,region,local_authority,service_area,age_range,conditions_supported,specific_services,physical_access,organization_type,status,last_verified
1,ChIJ39RePbUcdkgRnUxiKN-8IQ8,East London NHS Foundation Trust,"9 Alie St, London E1 8DE, UK",51.51356759999999,-0.07207899999999999,Monday: 9:00?AM?–?5:00?PM; Tuesday: 9:00?AM?–?5:00?PM; Wednesday: 9:00?AM?–?5:00?PM; Thursday: 9:00?AM?–?5:00?PM; Friday: 9:00?AM?–?5:00?PM; Saturday: Closed; Sunday: Closed,http://www.elft.nhs.uk/,+44 20 7655 4000,2.8,16,"establishment,health,point_of_interest",OPERATIONAL,,https://maps.google.com/?cid=1090360251441630365,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ39RePbUcdkgRnUxiKN-8IQ8,9C3XGW7H+C5,"GW7H+C5 London, UK",,AciIO2d2ljF2Jb6ox0HdXUQnQnQI1z1_aWDJDbneOyhaRCMdHSFDffdAEfxEr9NLrnJINizCWkOZVoMZr6zn8wEDvkuYgTj8c656uf1YxHdheMR8N6Xa3xCYoROIQ_6bhUc1AGSr_JP6budrZGxYEbSJx42Zh3DIwY2RhzNQPQGcTd5iMf-FD-MYoQ5ql9s8Gzyx08OdYOeouC2TfEH8KAWmKc4NDymNN6yF191Ua2HuYInTBV1Bn5FLN8x8WhnopzH6nrJDRjBiSW81Bf-QUyJV9GueFDY6RSYKsiElOAYphywVng,United Kingdom,E1 8DE,London,England,Greater London,E7 8QP,E1 8DE,1,Adult ADHD diagnostic assessments and treatment for Newham residents.,,London,England - London,Newham,Newham,Adults (18+),ADHD,"ADHD Assessment (Adult), Medication Management, Ongoing care",Wheelchair accessible,NHS Service,Active & Verified,03/10/2025
2,ChIJ39RePbUcdkgRnUxiKN-8IQ8,East London NHS Foundation Trust,"9 Alie St, London E1 8DE, UK",51.51356759999999,-0.07207899999999999,Monday: 9:00?AM?–?5:00?PM; Tuesday: 9:00?AM?–?5:00?PM; Wednesday: 9:00?AM?–?5:00?PM; Thursday: 9:00?AM?–?5:00?PM; Friday: 9:00?AM?–?5:00?PM; Saturday: Closed; Sunday: Closed,http://www.elft.nhs.uk/,+44 20 7655 4000,2.8,16,"establishment,health,point_of_interest",OPERATIONAL,,https://maps.google.com/?cid=1090360251441630365,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ39RePbUcdkgRnUxiKN-8IQ8,9C3XGW7H+C5,"GW7H+C5 London, UK",,AciIO2d2ljF2Jb6ox0HdXUQnQnQI1z1_aWDJDbneOyhaRCMdHSFDffdAEfxEr9NLrnJINizCWkOZVoMZr6zn8wEDvkuYgTj8c656uf1YxHdheMR8N6Xa3xCYoROIQ_6bhUc1AGSr_JP6budrZGxYEbSJx42Zh3DIwY2RhzNQPQGcTd5iMf-FD-MYoQ5ql9s8Gzyx08OdYOeouC2TfEH8KAWmKc4NDymNN6yF191Ua2HuYInTBV1Bn5FLN8x8WhnopzH6nrJDRjBiSW81Bf-QUyJV9GueFDY6RSYKsiElOAYphywVng,United Kingdom,E1 8DE,London,England,Greater London,E1 4DG,E1 8DE,1,Adult ADHD diagnostic assessments and treatment for Tower Hamlets residents.,,London,England - London,Tower Hamlets,Tower Hamlets,Adults (18+),ADHD,"ADHD Assessment (Adult), Medication Management, Ongoing care",Wheelchair accessible,NHS Service,Active & Verified,03/10/2025
3,ChIJ3Xel5wQQdkgRXTVyO53x-M4,C N W L Mental Health Clinic,"7 Woodfield Rd, London W9 2BA, UK",51.5227708,-0.1993765,,http://www.cnwl.nhs.uk/,+44 20 7266 9500,3.7,3,"establishment,health,point_of_interest",OPERATIONAL,,https://maps.google.com/?cid=14913935823646897501,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ3Xel5wQQdkgRXTVyO53x-M4,9C3XGRF2+46,"GRF2+46 London, UK",,,United Kingdom,W9 2BA,London,England,Greater London,NW9 9QY,W9 2BA,1,Private ADHD assessments for adults in London with no GP referral required.,,W1G 7HJ,London,England - London,Westminster,Payment plans may be available,Adults (18+),N/A - they provide diagnosis,"ADHD Assessment (Adult), Treatment planning, Medication management, Letters to GP",Can discuss needs prior to appointment,Required (Check CQC register),Active & Verified
4,ChIJY37F9NMadkgR-2GwQcTbCD4,London Psychiatry Clinic,"60 Harley St, London W1G 7HA, UK",51.519282,-0.1469191,Monday: 8:00?AM?–?6:00?PM; Tuesday: 8:00?AM?–?6:00?PM; Wednesday: 8:00?AM?–?6:00?PM; Thursday: 8:00?AM?–?6:00?PM; Friday: 8:00?AM?–?6:00?PM; Saturday: 9:00?AM?–?5:00?PM; Sunday: Closed,https://londonpsychiatry.clinic/,+44 20 3488 8555,4.5,86,"doctor,establishment,health,hospital,point_of_interest",OPERATIONAL,,https://maps.google.com/?cid=4470064266127368699,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJY37F9NMadkgR-2GwQcTbCD4,9C3XGV93+P6,"GV93+P6 London, UK",,AciIO2d5ZyiarYl76iS48WpiYw6bY_zigrD-TuuXsGjAgpgu9FhB0psYjg8N4yckV2Qgqtk8epEpNrt5pZSXKGGYpOJAOxljgc4lBr9iCVAOAvnEczKRCSmErM9C8qpbv4zvSWfqpq0iUMk6TlUXufobMlHE0DqOnF_1IBozF24ZK_yWvQSXec6LoJcO6Rr1v2Cs2kBW_8ZmJni0MsP5aaCF4haonxeTLnJPA04GzDpTiWowzvKOcPMDUHuIXNRW0DnDBgGOB04hw2hl2cEQ8EEJ0Ktu_l0wdZAZHjMyNrKG3RTHzA,United Kingdom,W1G 7HA,London,England,Greater London,,W1G 7HA,1,24/7 emotional support for anyone in distress. Completely confidential non-judgemental listening service.,,National,UK-wide,National,National,All ages,"All (mental health, emotional distress)","Crisis Support, Emotional support, Suicide prevention, Non-judgemental listening",Phone service + face-to-face branches,Charity/Non-profit,Active & Verified,03/10/2025
5,ChIJ6UTo4PEOdkgRXecE7aaGwtA,Priory Roehampton: Depression & Anxiety Treatment - London,"Priory Ln, London SW15 5JJ, UK",51.462568,-0.2519637,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,https://www.priorygroup.com/locations/priory-hospital-roehampton-london?utm_source=google_my_business&utm_medium=organic&utm_campaign=private&utm_content=priory-roehampton,+44 20 8876 8261,3.5,163,"establishment,health,point_of_interest",OPERATIONAL,,https://maps.google.com/?cid=15042733756870092637,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ6UTo4PEOdkgRXecE7aaGwtA,9C3XFP7X+26,"FP7X+26 London, UK",,AciIO2fLISO7Tl8stcplmxWVESG-t7Jjijj26xRueb5e0efzFpU5pAwziUsCNdS1fhkDpyr7cRkPx6oAf9VUBmLGnMcSWprhCVVJri8m6_lggnYSIHntu5tQ9Vxv8WCpBDWkuIC67eLD5BwHRVKoHx0lNEAkupqHWTEWh86THjeAaCYyFhhccHoeQl-QZv4l0dVXRMScRp5uhbnsB-MpefOTZZpesMSHx9KE1AmiR3RUM9j9goXSH9c6fIl1iS-xhlDTJXMskzemoQgZ1LC4o3ZWkkgwurVWGL3KNjGCUamvYDp_1g,United Kingdom,SW15 5JJ,London,England,Greater London,,SW15 5JJ,1,Free confidential advice and support for autistic people families and carers.,,London,England - London,Islington,National (UK-wide),All ages,Autism/ASC,"Information & Advice, Signposting to local services, Emotional support",N/A - phone/online service,Charity/Non-profit,Active & Verified,03/10/2025
6,ChIJgzy9X3ludkgRZySEweQqWE8,The Samaritans of Hillingdon,"2 Press Rd, Uxbridge UB8 1AT, UK",51.5494323,-0.4781501,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,https://www.samaritans.org/branches/uxbridge/,+44 330 094 5717,4.3,7,"establishment,point_of_interest",OPERATIONAL,,https://maps.google.com/?cid=5717366888934417511,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJgzy9X3ludkgRZySEweQqWE8,9C3XGGXC+QP,"GGXC+QP Uxbridge, UK",,,United Kingdom,UB8 1AT,Uxbridge,England,Greater London,,UB8 1AT,1,EHC needs assessments and statutory assessments for Tower Hamlets residents.,,London,England - London,Tower Hamlets,Tower Hamlets,"Children (0-11), Young People (12-17), up to 25 for SEND","ADHD, Autism/ASC, All neurodivergent conditions","EHCP Support, Statutory assessments, SENCO support, Information and advice",Wheelchair accessible,Local Authority,Active & Verified,03/10/2025
7,ChIJ3Xel5wQQdkgRXTVyO53x-M4,C N W L Mental Health Clinic,"7 Woodfield Rd, London W9 2BA, UK",51.5227708,-0.1993765,,http://www.cnwl.nhs.uk/,+44 20 7266 9500,3.7,3,"establishment,health,point_of_interest",OPERATIONAL,,https://maps.google.com/?cid=14913935823646897501,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ3Xel5wQQdkgRXTVyO53x-M4,9C3XGRF2+46,"GRF2+46 London, UK",,,United Kingdom,W9 2BA,London,England,Greater London,,W9 2BA,1,SEN team support for children and young people aged 0-25 with SEND in Southwark.,,London,England - London,Southwark,Southwark,"Children (0-11), Young People (12-17), up to 25 for SEND",All neurodivergent conditions,"SEN team support, SENCO advisory services, CENMAC specialist support",Council offices accessible,Local Authority,Active - Needs Verification,03/10/2025
8,ChIJD8DAuVwbdkgR5Nd4ae4iVWI,National Autistic Society,"not open to the public, Weston House, London EC2A 3NH, UK",51.5233133,-0.0802195,,https://www.autism.org.uk/,+44 20 7833 2299,3.6,35,"establishment,point_of_interest",OPERATIONAL,,https://maps.google.com/?cid=7085607996104431588,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJD8DAuVwbdkgR5Nd4ae4iVWI,9C3XGWF9+8W,"GWF9+8W London, UK",,AciIO2d91LYXrf298YP_a9Tj5PPDI_TGOz342LFhrFJ6fxOSYza3ivDyKgIat7SlvQkV9YHZtH5oTHEPpUYLEE1RS5-4RkWmKeEIJWM6PJS3yvVjJyo35Ea-SGh1y2CyLOM453qFL7FKS8zKEaKUHBZRKKpbUpq4utlOeeL25dXOZxVscIaMyf0aT3bEBiAaqtSC9Wp6inxTGTx943ZKEu4CAxMGQKvJq572uc5qTPoONYTbRdwfqK_kutAzgbervuqayEAMbetUyZ-yW147dZXu_hoQWi6bghWXq9OrIZsIE-gicg,United Kingdom,EC2A 3NH,London,England,Greater London,EC1V 1NG,EC2A 3NH,1,Specialist day school for children and young people with Autism Spectrum Disorder in West London.,,London,England - London,Ealing,West London,Ages 4½ to 22,Autism/ASC,"Specialist autism education, Life skills development, Transition support",Wheelchair accessible,Charity/Non-profit (NAS),Active & Verified,03/10/2025
9,ChIJG_5m2sBsdkgRA4OrOH-b5d0,Centre for ADHD & Autism Support,"269 Field End Rd, Ruislip HA4 9XA, UK",51.57528079999999,-0.3962415,Monday: 9:00?AM?–?5:00?PM; Tuesday: 9:00?AM?–?5:00?PM; Wednesday: 9:00?AM?–?5:00?PM; Thursday: 9:00?AM?–?5:00?PM; Friday: 9:00?AM?–?5:00?PM; Saturday: Closed; Sunday: Closed,http://www.adhdandautism.org/,+44 20 8429 1552,4.8,37,"establishment,point_of_interest",OPERATIONAL,,https://maps.google.com/?cid=15989357022762730243,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJG_5m2sBsdkgRA4OrOH-b5d0,9C3XHJG3+4G,"HJG3+4G Ruislip, UK",,AciIO2fgfnIj5ReQnesjF8baAn7h4skNHVeuRNVydxOdDtsVQvAWsQm3rGKkipqO_5J8je2SSQi8EDDIR6Afnj6PrrSZq_I1nzVS-CnRycCsqVuQ4nHvFkUdUoAP3w2MKq513dfeChqUtGlX5PkGTJull8zVoYQwxSEDqtqPbTtgiprTPrDoee56djSXMMOEpK1vN80k-YmIdkz1RlNpq6v0T87kJahjJkyjXkMVaDt1SCZnXkrn-7iLP07k95rGJ1NtD24Rvh69XvvzkKicdWHrsnN50iLLTC2LMJiMnzD5IaN-yw,United Kingdom,HA4 9XA,Ruislip,England,Greater London,HA4 9XA,HA4 9XA,1,Specialist school for children with learning difficulties including ADHD and autism.,,London,England - London,Various,South-West London,Ages 11-19,"ADHD, Autism/ASC, Dyslexia, Dyspraxia, Learning difficulties","Specialist education, Anxiety reduction focus, Broad age range support",Wheelchair accessible,Private School,Active - Needs Verification,03/10/2025
10,ChIJj1lpuAGo2EcRnj3iud9cTBk,Tower Hamlets Schools Office,"Silvocea Way, London E14 0JJ, UK",51.518753,-0.06037269999999999,,https://www.towerhamlets.gov.uk/lgnl/education_and_learning/schools/schools.aspx,+44 20 7364 1065,4.6,9,"establishment,point_of_interest",OPERATIONAL,,https://maps.google.com/?cid=1822934065144282526,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJj1lpuAGo2EcRnj3iud9cTBk,9C3XGW9Q+GV,"GW9Q+GV London, UK",,AciIO2dcCPTH72Y1lgnVsDHpzzg6Y0Rv5Qi1GuvawgbHE0_i9c_CpnskSnyNKqig_9Z669BBhMT89gZ0wsvSDCNmJ_OhbHaAWii9wxbXhajM9jXb3YAIq_Cknw8FEktvh1xtryulzfKX3OSjdsenifyZy8ti4rnr3FfUrxeH_sQ21JrJMBQAKvNIo9BIXAxIhq4kLHasxTNwVhh_3fAr5eplzoOy9Ri_0J8OSibR8r1F7Bcy8eDWXr2UHfIJKJM5yXEo4WpDHKgUlDqwfXkhsM3SgUJV4e-CBikAMjr7EQSUpXdeiSgVrB3zT2nEqCCQpYClIDKCUgjIi8WPi-dKcgRGhonsowSCnQEe_luvAoGf_-CaQadsN-ruEeUc-UEUL6s1V4bvzANiXnbIpCamxod4WrqT0tINAC_HNVVx2HKegWVR83pm,United Kingdom,E14 0JJ,London,England,Greater London,E1 1BJ,E14 0JJ,1,At Ladbroke Grove autism centre we support people of all ages on the autism spectrum to help them achieve their full potential.,,email: enfield@nas.org.uk,,,,,,,,,,
