sno,gmaps_place_id,gmaps_name,gmaps_formatted_address,gmaps_latitude,gmaps_longitude,gmaps_opening_hours_weekday_text,gmaps_website,gmaps_phone,gmaps_rating,gmaps_user_ratings_total,gmaps_types,gmaps_business_status,gmaps_editorial_summary,gmaps_url,gmaps_directions_url,gmaps_plus_code_global,gmaps_plus_code_compound,gmaps_utc_offset_minutes,gmaps_photo_reference_1,gmaps_addr_country,gmaps_addr_postal_code,gmaps_addr_postal_town,gmaps_addr_admin_area_level_1,gmaps_addr_admin_area_level_2,postcode_norm,gmaps_postcode_norm,likely_match,description_short,Description,city,region,local_authority,service_area,age_range,conditions_supported,specific_services,physical_access,organization_type,status,last_verified,llm_error
721,1,Ealing Community Cafe,"St Andrews Church,
Mount Park Road,
London W5 2RS",51.5196994,-0.3032573,,https://www.londonautismgroupcharity.org/community-cafes,,,,,,,,,,,,,,W5 2RS,,,,,,,"Monthly Community Cafe drop-in sessions at St Andrews Church, Mount Park Road, London W5 2RS.
It will be held on the first Saturday of every month at 1:30pm-3:30pm.
The entire Autistic community are welcome: Autistic people and Carers.
No official diagnosis is necessary. Just come on in, relax and meet everyone.","Monthly Community Cafe drop-in sessions at
London W5 2RS
It will be held on the first Saturday of every month at 1:30pm-3:30pm.
The entire Autistic community are welcome: Autistic people and Carers.
No official diagnosis is necessary. Just come on in, relax and meet everyone.
Feel free to stop by for a chat and a hot drink with our lovely volunteers.
For more details of all our Community Cafes, please see our website:
https://www.londonautismgroupcharity.org/community-cafes, St Andrews Church, Mount Park Road,",,,,,,,,,,,,
722,2,Grays Community Cafe,"The Community House,
Grays, Essex.
RM17 6DR",51.4749255,0.3272371,,https://www.londonautismgroupcharity.org/community-cafes,,,,,,,,,,,,,,RM17 6DR,,,,,,,"Community cafes providing a safe, inclusive and accessible place for people to come together, meet, connect and share.
-Free tea, coffee, biscuits and other snacks.
-Sensory items, games and more!
-Taking place on the 1st Sunday of every month at 2pm-4pm.","The Community House,
Grays, Essex.
RM17 6DR.
As always, our community cafes are completely free and for all people within the autistic and wider autism community i.e. Autistics of any age, parents, carers, other family members, professionals and any mix of the aforementioned.
The main aim of our community cafes are to provide the community a safe, inclusive and accessible place for people to come together, meet, connect and share.
There will be free tea, coffee, biscuits and other snacks, sensory items, games and more!
There's no need to register, just drop by.
For a full list of our Community Cafes go to our website here: https://www.londonautismgroupcharity.org/community-cafes, This community cafe will be taking place on the 1st Sunday of every month at 2pm-4pm at",,,,,,,,,,,,
723,3,Southgate Community Cafe,"St Andrew's Church Hall,
Southgate,
N14 5PP",51.6351906,-0.1345725,,https://www.londonautismgroupcharity.org/community-cafes,,,,,,,,,,,,,,N14 5PP,,,,,,,"Weekly group called Southgate Community Cafe/drop-in takes place on the second Sunday of every month, between 1pm and 3pm.
The entire Autistic community are welcome: Autistic people and Carers.
No official diagnosis is necessary. Just come on in, relax and meet everyone.
Feel free to stop by for a chat and a hot drink with our lovely volunteers.","Our Southgate Community Cafe/drop-in takes place on the second Sunday of every month, between 1pm and 3pm.
The entire Autistic community are welcome: Autistic people and Carers.
No official diagnosis is necessary. Just come on in, relax and meet everyone.
Feel free to stop by for a chat and a hot drink with our lovely volunteers.
For more details of all our Community Cafes, please see our website:
https://www.londonautismgroupcharity.org/community-cafes, It is held at the fantastic St Andrew's Church Hall in Southgate, N14 5PP.",,,,,,,,,,,,
724,4,South Woodford Community Cafe,"207 High Road,
South Woodford,
E18 2PA,
St Mary's Parish Church Woodford",51.5966951,0.0212415,,https://www.londonautismgroupcharity.org/community-cafes,,,,,,,,,,,,,,E18 2PA,,,,,,,"Monthly Community Cafe drop-in sessions at 1pm-3pm.
-The entire Autistic community are welcome: Autistic people and Carers.
-No official diagnosis is necessary. Just come on in, relax and meet everyone.
-Feel free to stop by for a chat and a hot drink with our lovely volunteers.","Monthly Community Cafe drop-in sessions at
207 High Road
South Woodford
E18 2PA
This takes place every last Sunday of the month, at 1pm-3pm.
The entire Autistic community are welcome: Autistic people and Carers.
No official diagnosis is necessary. Just come on in, relax and meet everyone.
Feel free to stop by for a chat and a hot drink with our lovely volunteers.
For more details of all our Community Cafes, please see our website:
https://www.londonautismgroupcharity.org/community-cafes, St Mary's Parish Church Woodford",,,,,,,,,,,,
725,5,NAS Bexley Branch,,51.4543813,0.1377583,,,07826950496,,,,,,,,,,,,,,,,,,,,"NAS Bexley Branch
Contact Address Thelma Morito, Branch Officer DA6.","NAS Bexley Branch
Contact Address Thelma Morito, Branch Officer DA6,
tel: 07826 950496,, email: bexley@nas.org.uk",,,,,,,,,,,,
726,6,NAS Greenwich Branch,,51.4418108,0.0614548,,www.nasgreenwich.org.uk,07928 295171,,,,,,,,,,,,,,,,,,,,"Contact for NAS Greenwich Branch.
-Contact for NAS Greenwich Branch.
-Contact for NAS Greenwich Branch.","NAS Greenwich Branch Contact AddressNAS Greenwich Branch
Contact Address
SE9,
tel: 07928 295171,
email: greenwich@nas.org.uk
Website: www.nasgreenwich.org.uk
Twitter: @nasgreenwich www.twitter.com/nasgreenwich
Facebook page: http://www.facebook.com/nasgreenwich
NAS National Contacts:
NAS Helpline 0808 800 4104
NAS Education Rights Service 0808 800 4102
Email NAS Befriending Service – Aims to reduce social isolation.
befriendingandmentoring@nas.org.uk
Contact alan.bicknell@nas.org.uk or visit www.nas.org.uk, Julie Raven, Branch Officer",,,,,,,,,,,,
727,7,NAS Lambeth Branch,,51.493515,-0.1172447,,,,,,,,,,,,,,,,,,,,,,,"Lambeth Autism Group welcomes all parents/carers with children on the autistic spectrum and autistic adults.
NAS Lambeth Branch (Lambeth Autism Group)
Contact Address Anna Roads, Branch Officer, email: lambeth@nas.org.uk","http://www.nasbranch.org.uk/lambeth
Lambeth Autism Group welcomes all parents/carers with children on the autistic spectrum and autistic adults.
Lambeth Autism Group organises a number of activities as well as acting as a source of information on local events/services., NAS Lambeth Branch (Lambeth Autism Group)Contact Address Anna Roads, Branch Officer, email: lambeth@nas.org.uk",,,,,,,,,,,,
728,8,NAS Merton Branch,,51.4097735,-0.210809199999971,,http://www.nasbranch.org.uk/merton,,,,,,,,,,,,,,,,,,,,,"NAS Merton Group is a locally run National Autistic Society Parents Group.
-This group was set up in November 2015, and is run by local volunteers.
-We host a play party for children, and regular coffee mornings for the parents in Merton.
-We are looking to expand our group, and plan to do more activities where children, adults and families can get involved.","NAS Merton Group
Contact Address
http://www.nasbranch.org.uk/merton
Description
NAS Merton Group is a locally run National Autistic Society Parents Group. This group was set up in November 2015, and is run by local volunteers. We host a play party for children, and regular coffee mornings for the parents in Merton. We are looking to expand our group, and plan to do more activities where children, adults and families can get involved., Rina Brahmbhatt, Group Leader SM4 , email: Merton.Group@nas.org.uk",,,,,,,,,,,,
729,9,NAS Newham Branch,"York House,
Barking Rd E13 8AL",51.5237111,0.0252557,,http://nasnewhambranch.webeden.co.uk/,07795 127787,,,,,,,,,,,,,E13 8AL,,,,,,,"Child and consulation service from NAS Newham Branch.
-Run exclusively by volunteers who are parents of children on the autism spectrum.
-Launched in 2010 and covers the London Borough of Newham.
-The branch aims to offer support to parents and carers of children, but also to adults affected by autism.","NAS Newham Branch
or
sue.fisher2016@gmail.com
Child and consulation service
York House
Barking Rd E13 8AL
http://nasnewhambranch.webeden.co.uk/
The NAS Newham branch is run exclusively by volunteers who are parents of children on the autism spectrum.
The branch was launched in 2010 and covers the London Borough of Newham.
The branch aims to offer support to parents and carers of children, but also to adults affected by autism., Contact Sean Hurley, Branch Officer E6, tel: 07795 127787, email: newham@nas.org.ukwww.nasbranch.org.uk/newham",,,,,,,,,,,,
730,10,NAS Richmond Branch,,51.4608524,-0.304184,,http://www.richmondnas.org/index.html,07810505982,,,,,,,,,,,,,,,,,,,,"Friendly parent-led group supporting families and individuals with an autism spectrum disorder (including Asperger's Syndrome) in the Borough of Richmond upon Thames.
-Holds coffee mornings.
-Provides regular updates via emails.
-Focuses on support, information, and awareness.","NAS Richmond Branch
http://www.richmondnas.org/index.html
Contact Address
Laura Lennuyeux-Comnene, Branch Officer,           tel: 07810 505982, email: richmond@nas.org.ukwww.richmondnas.org, We are a friendly parent-led group aiming to support families and individuals mainly in the Borough of Richmond upon Thames living with an autism spectrum disorder (including Asperger's Syndrome). We hold coffee mornings, liaise with other groups and provide regular updates via emails; our core objectives being support, information and awareness.",,,,,,,,,,,,
731,11,NAS Southwark Branch,,51.5028658,-0.087204,,,07747768536,,,,,,,,,,,,,,,,,,,,"Weekly group called Connect set up by Natasha of Dream Box Education. Natasha is an SEN teacher who now works directly with families in their homes.
-Specially designed play for children with additional needs.
-Advice about how to engage your child and encourage communication.
-For people in NE London, West Essex and Herts borders...","NAS Southwark Branch
Contact Address
Pamela Douglas, Branch Officer,                             tel: 07747 768536,, email: southwark@nas.org.uk",,,,,,,,,,,,
732,12,NAS Surrey Autism Resource Centre,"Godalming
Surrey
GU7",51.1882843,-0.618454000000042,,http://www.nassurreybranch.org/,01483 521 743,,,,,,,,,,,,,,,,,,,,"The Resource centre currently runs:
-Therapy groups: Lego Therapy in Godalming and Social Skills groups in Hersham and Godalming for ages 5-15years;
-Leisure Opportunity Project for 18+ with complex needs;
-ASpire Social Skills Group (18+ with Asperger syndrome; the centre is based at Godalming but service users come from throughout Surrey; 
-ASSIST project (16+ Asperger Syndrome, based at Godalming extending in West Sussex; 
-Saturday Morning Club (to be confirmed). Please contact Resource Centre Manager for more information on each project.","The Resource centre currently runs: :
-Therapy groups: Lego Therapy in Godalming and Social Skills groups in Hersham and Godalming for ages 5-15years;
-Leisure Opportunity Project for 18+ with complex needs;
-ASpire Social Skills Group (18+ with Asperger syndrome; the centre is based at Godalming but service users come from throughout Surrey;
-ASSIST project (16+ Asperger Syndrome, based at Godalming extending in West Sussex;
-Saturday Morning Club (to be confirmed). Please contact Resource Centre Manager for more information on each project.
http://www.nassurreybranch.org/
Telephone number: 01483 521 743
Email: SEresourcecentres@nas.org.uk
Helen Dunkley
Resource Centre Manager
Godalming
Surrey
GU7, -5 Children's clubs Godalming, Reigate x 2, Walton on Thames & Woking for ages 5-13years. -Youth clubs 13-18 years, Woking, Staines, Reigate, Epsom Ash Guildford and Newbury,",,,,,,,,,,,,
733,13,NAS Sutton Branch,,51.3573721,-0.1751952,,http://www.sutton.webeden.co.uk,,,,,,,,,,,,,,,,,,,,,"NAS Sutton Branch run by parents of young children on the spectrum. They support parents, families, carers and professionals who work with children with autism spectrum disorder (ASD).
-They run regular coffee mornings with guest speakers.
-Their branch website contains details of all local organisations who provide support for families.
-Active Facebook Group with up to date information on everything that is going on in the local area.","NAS Sutton Branch
Contact Address
http://www.sutton.webeden.co.uk
Description
NAS Sutton is run by parents of young children on the spectrum. They are there to support parents, families, carers and professionals who work with children with autism spectrum disorder (ASD). At the moment, they are a small that can provide information and signposting to both local and national support networks. They run regular coffee mornings with guest speakers, so members can get together and meet others in similar positions. Their branch website contains details of all local organisations who provide support for families and there is an active Facebook Group that gives up to date information on everything that is going on in the local area., Rachael Phillips, Branch Officer, email: sutton@nas.org.uk",,,,,,,,,,,,
