sno,gmaps_place_id,gmaps_name,gmaps_formatted_address,gmaps_latitude,gmaps_longitude,gmaps_opening_hours_weekday_text,gmaps_website,gmaps_phone,gmaps_rating,gmaps_user_ratings_total,gmaps_editorial_summary,gmaps_url,gmaps_directions_url,gmaps_plus_code_global,gmaps_plus_code_compound,gmaps_addr_country,gmaps_addr_postal_code,gmaps_addr_postal_town,gmaps_addr_admin_area_level_1,gmaps_addr_admin_area_level_2,description_short,age_range,conditions_supported,specific_services,organization_type,status,last_verified
1,ChIJ39RePbUcdkgRnUxiKN-8IQ8,East London NHS Foundation Trust,"9 Alie St, London E1 8DE, UK",51.51356759999999,-0.07207899999999999,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,http://www.elft.nhs.uk/,+44 20 7655 4000,2.8,16,,https://maps.google.com/?cid=1090360251441630365,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ39RePbUcdkgRnUxiKN-8IQ8,9C3XGW7H+C5,"GW7H+C5 London, UK",United Kingdom,E1 8DE,London,England,Greater London,,Adults (18+),ADHD,"ADHD Assessment (Adult), Medication Management, Ongoing care",NHS Service,Active & Verified,03/10/2025
3,ChIJ3Xel5wQQdkgRXTVyO53x-M4,C N W L Mental Health Clinic,"7 Woodfield Rd, London W9 2BA, UK",51.5227708,-0.1993765,,http://www.cnwl.nhs.uk/,+44 20 7266 9500,3.7,3,,https://maps.google.com/?cid=14913935823646897501,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ3Xel5wQQdkgRXTVyO53x-M4,9C3XGRF2+46,"GRF2+46 London, UK",United Kingdom,W9 2BA,London,England,Greater London,,Payment plans may be available,Adults (18+),N/A - they provide diagnosis,Can discuss needs prior to appointment,Required (Check CQC register),Active & Verified
4,ChIJY37F9NMadkgR-2GwQcTbCD4,London Psychiatry Clinic,"60 Harley St, London W1G 7HA, UK",51.519282,-0.1469191,Monday: 8:00?AM?�?6:00?PM; Tuesday: 8:00?AM?�?6:00?PM; Wednesday: 8:00?AM?�?6:00?PM; Thursday: 8:00?AM?�?6:00?PM; Friday: 8:00?AM?�?6:00?PM; Saturday: 9:00?AM?�?5:00?PM; Sunday: Closed,https://londonpsychiatry.clinic/,+44 20 3488 8555,4.5,86,,https://maps.google.com/?cid=4470064266127368699,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJY37F9NMadkgR-2GwQcTbCD4,9C3XGV93+P6,"GV93+P6 London, UK",United Kingdom,W1G 7HA,London,England,Greater London,,All ages,"All (mental health, emotional distress)","Crisis Support, Emotional support, Suicide prevention, Non-judgemental listening",Charity/Non-profit,Active & Verified,03/10/2025
5,ChIJ6UTo4PEOdkgRXecE7aaGwtA,Priory Roehampton: Depression & Anxiety Treatment - London,"Priory Ln, London SW15 5JJ, UK",51.462568,-0.2519637,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,https://www.priorygroup.com/locations/priory-hospital-roehampton-london?utm_source=google_my_business&utm_medium=organic&utm_campaign=private&utm_content=priory-roehampton,+44 20 8876 8261,3.5,163,,https://maps.google.com/?cid=15042733756870092637,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ6UTo4PEOdkgRXecE7aaGwtA,9C3XFP7X+26,"FP7X+26 London, UK",United Kingdom,SW15 5JJ,London,England,Greater London,,All ages,Autism/ASC,"Information & Advice, Signposting to local services, Emotional support",Charity/Non-profit,Active & Verified,03/10/2025
6,ChIJgzy9X3ludkgRZySEweQqWE8,The Samaritans of Hillingdon,"2 Press Rd, Uxbridge UB8 1AT, UK",51.5494323,-0.4781501,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,https://www.samaritans.org/branches/uxbridge/,+44 330 094 5717,4.3,7,,https://maps.google.com/?cid=5717366888934417511,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJgzy9X3ludkgRZySEweQqWE8,9C3XGGXC+QP,"GGXC+QP Uxbridge, UK",United Kingdom,UB8 1AT,Uxbridge,England,Greater London,,"Children (0-11), Young People (12-17), up to 25 for SEND","ADHD, Autism/ASC, All neurodivergent conditions","EHCP Support, Statutory assessments, SENCO support, Information and advice",Local Authority,Active & Verified,03/10/2025
8,ChIJD8DAuVwbdkgR5Nd4ae4iVWI,National Autistic Society,"not open to the public, Weston House, London EC2A 3NH, UK",51.5233133,-0.0802195,,https://www.autism.org.uk/,+44 20 7833 2299,3.6,35,,https://maps.google.com/?cid=7085607996104431588,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJD8DAuVwbdkgR5Nd4ae4iVWI,9C3XGWF9+8W,"GWF9+8W London, UK",United Kingdom,EC2A 3NH,London,England,Greater London,,Ages 4� to 22,Autism/ASC,"Specialist autism education, Life skills development, Transition support",Charity/Non-profit (NAS),Active & Verified,03/10/2025
9,ChIJG_5m2sBsdkgRA4OrOH-b5d0,Centre for ADHD & Autism Support,"269 Field End Rd, Ruislip HA4 9XA, UK",51.57528079999999,-0.3962415,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,http://www.adhdandautism.org/,+44 20 8429 1552,4.8,37,,https://maps.google.com/?cid=15989357022762730243,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJG_5m2sBsdkgRA4OrOH-b5d0,9C3XHJG3+4G,"HJG3+4G Ruislip, UK",United Kingdom,HA4 9XA,Ruislip,England,Greater London,,Ages 11-19,"ADHD, Autism/ASC, Dyslexia, Dyspraxia, Learning difficulties","Specialist education, Anxiety reduction focus, Broad age range support",Private School,Active - Needs Verification,03/10/2025
10,ChIJj1lpuAGo2EcRnj3iud9cTBk,Tower Hamlets Schools Office,"Silvocea Way, London E14 0JJ, UK",51.518753,-0.06037269999999999,,https://www.towerhamlets.gov.uk/lgnl/education_and_learning/schools/schools.aspx,+44 20 7364 1065,4.6,9,,https://maps.google.com/?cid=1822934065144282526,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJj1lpuAGo2EcRnj3iud9cTBk,9C3XGW9Q+GV,"GW9Q+GV London, UK",United Kingdom,E14 0JJ,London,England,Greater London,,,,,,,
11,ChIJQcwiTLUPdkgRuTSlu1PXkFA,Hammersmith and Fulham Council,"145 King St, London W6 9XY, UK",51.4924863,-0.2318367,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,http://www.lbhf.gov.uk/,+44 20 8748 3020,1.7,253,,https://maps.google.com/?cid=5805376674310993081,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJQcwiTLUPdkgRuTSlu1PXkFA,9C3XFQR9+X7,"FQR9+X7 London, UK",United Kingdom,W6 9XY,London,England,Greater London,,,,,,,
12,ChIJMcNmOGgDdkgRYidqWwJXHL4,Southwark Council,"160 Tooley St, London SE1 2QH, UK",51.5034502,-0.080552,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,http://www.southwark.gov.uk/,+44 20 7525 5000,1.5,367,,https://maps.google.com/?cid=13698919834189440866,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJMcNmOGgDdkgRYidqWwJXHL4,9C3XGW39+9Q,"GW39+9Q London, UK",United Kingdom,SE1 2QH,London,England,Greater London,,,,,,,
